SK_ID_CURR,TARGET
100001,0.1
100005,0.06
100013,0.02
100028,0.02
100038,0.1
100042,0.04
100057,0.08
100065,0.06
100066,0.02
100067,0.1
100074,0.04
100090,0.2
100091,0.22
100092,0.04
100106,0.06
100107,0.1
100109,0.02
100117,0.04
100128,0.12
100141,0.12
100150,0.0
100168,0.0
100169,0.14
100170,0.06
100171,0.0
100172,0.08
100184,0.02
100187,0.04
100212,0.08
100222,0.08
100223,0.04
100232,0.0
100241,0.16
100245,0.02
100253,0.0
100256,0.1
100271,0.04
100278,0.14
100280,0.02
100306,0.06
100311,0.28
100312,0.08
100330,0.2
100331,0.04
100352,0.18
100358,0.04
100367,0.02
100382,0.22
100384,0.14
100385,0.08
100386,0.0
100399,0.04
100404,0.02
100416,0.04
100422,0.06
100426,0.04
100438,0.08
100444,0.02
100445,0.1
100446,0.08
100447,0.0
100450,0.1
100466,0.0
100483,0.06
100484,0.06
100494,0.06
100510,0.12
100512,0.06
100517,0.08
100548,0.0
100551,0.0
100552,0.04
100553,0.04
100561,0.2
100568,0.38
100569,0.04
100591,0.0
100592,0.04
100602,0.12
100607,0.06
100613,0.04
100617,0.14
100618,0.1
100622,0.1
100625,0.1
100677,0.22
100699,0.02
100702,0.26
100711,0.06
100729,0.16
100740,0.08
100744,0.1
100745,0.12
100747,0.18
100751,0.22
100752,0.04
100753,0.22
100754,0.04
100760,0.04
100762,0.04
100763,0.14
100765,0.0
100770,0.1
100772,0.02
100777,0.02
100791,0.04
100792,0.02
100797,0.08
100823,0.02
100826,0.08
100830,0.04
100836,0.1
100872,0.02
100910,0.04
100913,0.12
100918,0.08
100931,0.04
100952,0.02
100953,0.0
100965,0.2
100970,0.02
100982,0.06
100983,0.2
100984,0.08
100987,0.04
100997,0.18
100998,0.1
101002,0.1
101005,0.16
101008,0.12
101020,0.06
101021,0.1
101024,0.1
101025,0.12
101026,0.08
101031,0.0
101041,0.04
101051,0.02
101055,0.06
101056,0.26
101057,0.06
101064,0.02
101079,0.04
101087,0.04
101090,0.04
101092,0.18
101097,0.08
101099,0.06
101107,0.08
101118,0.04
101125,0.12
101126,0.02
101128,0.04
101136,0.16
101140,0.16
101149,0.02
101160,0.02
101169,0.06
101181,0.12
101186,0.0
101190,0.06
101193,0.08
101194,0.12
101198,0.2
101200,0.1
101204,0.04
101211,0.16
101213,0.1
101223,0.04
101225,0.06
101237,0.1
101243,0.06
101244,0.12
101258,0.04
101259,0.24
101268,0.04
101269,0.06
101271,0.14
101279,0.0
101281,0.12
101287,0.02
101292,0.12
101294,0.1
101296,0.04
101297,0.08
101299,0.08
101301,0.04
101305,0.1
101308,0.12
101318,0.0
101327,0.3
101329,0.04
101332,0.06
101337,0.02
101343,0.0
101345,0.06
101346,0.0
101353,0.0
101354,0.12
101355,0.18
101356,0.04
101362,0.02
101363,0.18
101365,0.02
101366,0.18
101367,0.14
101368,0.02
101374,0.1
101380,0.02
101383,0.02
101398,0.02
101399,0.28
101401,0.02
101412,0.18
101426,0.0
101427,0.44
101428,0.14
101429,0.08
101434,0.06
101440,0.1
101448,0.08
101449,0.04
101465,0.08
101467,0.04
